alias_id	kind	canonical_id	reason	date
L34	lessons	L248	legacy id collided with different content	2026-09-14
L35	lessons	L249	legacy id collided with different content	2026-09-14
L51	lessons	L250	legacy id collided with different content	2026-09-14
L36	lessons	L251	legacy id collided with different content	2026-09-14
L37	lessons	L252	legacy id collided with different content	2026-09-14
L51	lessons	L253	legacy id collided with different content	2026-09-14
L52	lessons	L254	legacy id collided with different content	2026-09-14
L52	lessons	L255	legacy id collided with different content	2026-09-14
L53	lessons	L256	legacy id collided with different content	2026-09-14
L54	lessons	L257	legacy id collided with different content	2026-09-14
L55	lessons	L258	legacy id collided with different content	2026-09-14
L56	lessons	L259	legacy id collided with different content	2026-09-14
L57	lessons	L260	legacy id collided with different content	2026-09-14
L58	lessons	L261	legacy id collided with different content	2026-09-14
L103	lessons	L262	legacy id collided with different content	2026-09-14
L104	lessons	L263	legacy id collided with different content	2026-09-14
L59	lessons	L264	legacy id collided with different content	2026-09-14
L60	lessons	L265	legacy id collided with different content	2026-09-14
L114	lessons	L266	legacy id collided with different content	2026-09-14
L115	lessons	L267	legacy id collided with different content	2026-09-14
L116	lessons	L268	legacy id collided with different content	2026-09-14
L61	lessons	L269	legacy id collided with different content	2026-09-14
L105	lessons	L270	legacy id collided with different content	2026-09-14
L53	lessons	L271	legacy id collided with different content	2026-09-14
L117	lessons	L272	legacy id collided with different content	2026-09-14
L118	lessons	L273	legacy id collided with different content	2026-09-14
L134	lessons	L274	legacy id collided with different content	2026-09-14
L135	lessons	L275	legacy id collided with different content	2026-09-14
L136	lessons	L276	legacy id collided with different content	2026-09-14
L137	lessons	L277	legacy id collided with different content	2026-09-14
L138	lessons	L278	legacy id collided with different content	2026-09-14
L139	lessons	L279	legacy id collided with different content	2026-09-14
L140	lessons	L280	legacy id collided with different content	2026-09-14
L141	lessons	L281	legacy id collided with different content	2026-09-14
L142	lessons	L282	legacy id collided with different content	2026-09-14
L148	lessons	L283	legacy id collided with different content	2026-09-14
L158	lessons	L284	legacy id collided with different content	2026-09-14
L159	lessons	L285	legacy id collided with different content	2026-09-14
L160	lessons	L286	legacy id collided with different content	2026-09-14
L161	lessons	L287	legacy id collided with different content	2026-09-14
L162	lessons	L288	legacy id collided with different content	2026-09-14
L163	lessons	L289	legacy id collided with different content	2026-09-14
L164	lessons	L290	legacy id collided with different content	2026-09-14
L165	lessons	L291	legacy id collided with different content	2026-09-14
L166	lessons	L292	legacy id collided with different content	2026-09-14
L167	lessons	L293	legacy id collided with different content	2026-09-14
L168	lessons	L294	legacy id collided with different content	2026-09-14
L169	lessons	L295	legacy id collided with different content	2026-09-14
L170	lessons	L296	legacy id collided with different content	2026-09-14
L146	lessons	L297	legacy id collided with different content	2026-09-14
L147	lessons	L298	legacy id collided with different content	2026-09-14
L148	lessons	L299	legacy id collided with different content	2026-09-14
L169	lessons	L300	legacy id collided with different content	2026-09-14
L170	lessons	L301	legacy id collided with different content	2026-09-14
L171	lessons	L302	legacy id collided with different content	2026-09-14
L172	lessons	L303	legacy id collided with different content	2026-09-14
L173	lessons	L304	legacy id collided with different content	2026-09-14
L174	lessons	L305	legacy id collided with different content	2026-09-14
L175	lessons	L306	legacy id collided with different content	2026-09-14
L176	lessons	L307	legacy id collided with different content	2026-09-14
L177	lessons	L308	legacy id collided with different content	2026-09-14
L150	lessons	L309	legacy id collided with different content	2026-09-14
L151	lessons	L310	legacy id collided with different content	2026-09-14
L152	lessons	L311	legacy id collided with different content	2026-09-14
L171	lessons	L312	legacy id collided with different content	2026-09-14
L172	lessons	L313	legacy id collided with different content	2026-09-14
L173	lessons	L314	legacy id collided with different content	2026-09-14
L174	lessons	L315	legacy id collided with different content	2026-09-14
L175	lessons	L316	legacy id collided with different content	2026-09-14
L176	lessons	L317	legacy id collided with different content	2026-09-14
L177	lessons	L318	legacy id collided with different content	2026-09-14
L178	lessons	L319	legacy id collided with different content	2026-09-14
L39	lessons	L321	legacy id collided with different content	2026-09-14
